ticker,div
LUMN,0.1435
VNO,0.0907
CTRA,0.0863
MO,0.082200006
DVN,0.081
FANG,0.0796
PXD,0.0767
VZ,0.0721
VFC,0.0709
SPG,0.066300005
OKE,0.064
KMI,0.0626
T,0.0616
DOW,0.0585
NWL,0.0584
LYB,0.0577
PM,0.0574
IP,0.0557
BXP,0.0553
WBA,0.0541
BBY,0.0535
INTC,0.0533
WMB,0.0529
PNW,0.052399997
STX,0.052399997
PEAK,0.052199997
WHR,0.051999997
NEM,0.0515
VICI,0.050300002
MMM,0.050300002
IRM,0.0502
BEN,0.0498
IVZ,0.0498
EIX,0.049200002
VTRS,0.049099997
CCI,0.048899997
IBM,0.048899997
PARA,0.048800003
DLR,0.048800003
O,0.048699997
PRU,0.0475
TFC,0.0471
F,0.0468
VTR,0.0465
USB,0.045300003
FRT,0.045100003
C,0.045
DUK,0.0442
KEY,0.044099998
TROW,0.044
REG,0.0434
OGN,0.0432
KHC,0.0432
PKG,0.043
FE,0.0429
KIM,0.0429
HAS,0.0424
GILD,0.042
AMCR,0.0418
CFG,0.0418
HBAN,0.0416
SO,0.0414
SWK,0.0404
WELL,0.0404
EQR,0.0402
EMN,0.0401
ESS,0.0397
D,0.0396
OMC,0.0392
CMA,0.039
KMB,0.038599998
EVRG,0.0385
UDR,0.0385
IPG,0.0385
PEG,0.0385
ETR,0.0385
MS,0.038399998
AEP,0.0381
PSX,0.0379
TPR,0.0378
RF,0.0376
NI,0.0373
FITB,0.0372
PNC,0.037100002
AVB,0.0369
CAG,0.0369
HPQ,0.0367
ABBV,0.0367
ED,0.0366
NTRS,0.0365
UPS,0.036
EXC,0.0358
AVGO,0.0356
BK,0.0355
PFE,0.035099998
EXR,0.035
PPL,0.035
DRI,0.0349
STT,0.0349
LNC,0.0344
GRMN,0.0344
CMCSA,0.0343
CSCO,0.0342
ES,0.0342
HPE,0.0341
IFF,0.033800002
LNT,0.0336
GLW,0.033299997
XOM,0.0332
ARE,0.0332
CLX,0.033
WEC,0.033
ZION,0.0325
CMS,0.0325
MAA,0.0325
CVX,0.0325
DTE,0.0324
NRG,0.0324
RL,0.0321
JPM,0.0321
K,0.032
MDT,0.0319
AAP,0.0319
CPT,0.0317
PFG,0.0317
TXN,0.031400003
XEL,0.0312
SRE,0.031
VLO,0.0309
BLK,0.0307
TAP,0.0304
WRK,0.0299
AMT,0.0299
AMGN,0.0298
GS,0.0298
KO,0.0296
NTAP,0.0296
SWKS,0.0296
AEE,0.0294
CE,0.0292
MTB,0.0291
FDX,0.0291
BMY,0.029000001
PLD,0.028800001
CPB,0.0287
INVH,0.028299998
MRK,0.028199999
MET,0.028199999
